t=2020-02-19T10:38:09+0000 lvl=info msg="no configuration paths supplied"
t=2020-02-19T10:38:09+0000 lvl=info msg="using configuration at default config path" path=/home/ec2-user/.ngrok2/ngrok.yml
t=2020-02-19T10:38:09+0000 lvl=info msg="open config file" path=/home/ec2-user/.ngrok2/ngrok.yml err=nil
t=2020-02-19T10:38:09+0000 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2020-02-19T10:38:09+0000 lvl=info msg="tunnel session started" obj=tunnels.session
t=2020-02-19T10:38:09+0000 lvl=info msg="client session established" obj=csess id=eeca2ee107c9
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name="command_line (http)" addr=http://localhost:3000 url=http://kroco.ngrok.io
t=2020-02-19T10:38:09+0000 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://kroco.ngrok.io
t=2020-02-19T10:38:10+0000 lvl=info msg="update available" obj=updater
t=2020-02-19T10:38:10+0000 lvl=warn msg="failed to open private leg" id=01214ffa9c3f privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:13+0000 lvl=warn msg="failed to open private leg" id=da23b0fdb94b privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:14+0000 lvl=warn msg="failed to open private leg" id=7a1e7839e708 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:16+0000 lvl=warn msg="failed to open private leg" id=3da27a29c786 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:20+0000 lvl=warn msg="failed to open private leg" id=0771053a72e8 privaddr=localhost:3000 err="dial tcp 127.0.0.1:3000: connect: connection refused"
t=2020-02-19T10:38:22+0000 lvl=info msg="join connections" obj=join id=ac099b4967ec l=127.0.0.1:3000 r=222.117.88.21:65017
t=2020-02-19T10:38:23+0000 lvl=info msg="join connections" obj=join id=da83b38d677d l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:26+0000 lvl=info msg="join connections" obj=join id=3e43dc0dc1a3 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:27+0000 lvl=info msg="join connections" obj=join id=c49094b6e929 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:27+0000 lvl=info msg="join connections" obj=join id=194e8b8b4de6 l=127.0.0.1:3000 r=222.117.88.21:65024
t=2020-02-19T10:38:27+0000 lvl=info msg="join connections" obj=join id=77c70db0d61b l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:38:28+0000 lvl=info msg="join connections" obj=join id=f438e3c43d81 l=127.0.0.1:3000 r=222.117.88.21:65024
t=2020-02-19T10:38:28+0000 lvl=info msg="join connections" obj=join id=5b47fecc1bd6 l=127.0.0.1:3000 r=222.117.88.21:65024
t=2020-02-19T10:38:28+0000 lvl=info msg="join connections" obj=join id=1f5de952ccf6 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:28+0000 lvl=info msg="join connections" obj=join id=baf7134b2647 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=85653c29d6d5 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=033899f08123 l=127.0.0.1:3000 r=222.117.88.21:65024
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=dd18db814d8a l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=1943442a8c38 l=127.0.0.1:3000 r=222.117.88.21:65018
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=172583669372 l=127.0.0.1:3000 r=222.117.88.21:65024
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=09be7639bdf4 l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:38:29+0000 lvl=info msg="join connections" obj=join id=bf0b2dd67814 l=127.0.0.1:3000 r=222.117.88.21:65027
t=2020-02-19T10:38:30+0000 lvl=info msg="join connections" obj=join id=a10d810f8653 l=127.0.0.1:3000 r=222.117.88.21:65026
t=2020-02-19T10:38:30+0000 lvl=info msg="join connections" obj=join id=f5a5475cd0ab l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:38:30+0000 lvl=info msg="join connections" obj=join id=3fd147c0e37e l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:38:31+0000 lvl=info msg="join connections" obj=join id=13d95b3c88ff l=127.0.0.1:3000 r=222.117.88.21:65025
t=2020-02-19T10:39:49+0000 lvl=info msg="join connections" obj=join id=e753a9dfff38 l=127.0.0.1:3000 r=222.117.88.21:65057
t=2020-02-19T10:40:06+0000 lvl=info msg="join connections" obj=join id=81701094eaa8 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:06+0000 lvl=info msg="join connections" obj=join id=c9793c044264 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:07+0000 lvl=info msg="join connections" obj=join id=f11be2cafbe5 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:14+0000 lvl=info msg="join connections" obj=join id=929777d8af7f l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:15+0000 lvl=info msg="join connections" obj=join id=a43f69fadc8e l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:16+0000 lvl=info msg="join connections" obj=join id=5d3dd7ce15a4 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:16+0000 lvl=info msg="join connections" obj=join id=9a898d01d157 l=127.0.0.1:3000 r=222.117.88.21:65087
t=2020-02-19T10:40:16+0000 lvl=info msg="join connections" obj=join id=90603c9bf7c2 l=127.0.0.1:3000 r=222.117.88.21:65088
t=2020-02-19T10:40:17+0000 lvl=info msg="join connections" obj=join id=01425ab20ff0 l=127.0.0.1:3000 r=222.117.88.21:65087
t=2020-02-19T10:40:17+0000 lvl=info msg="join connections" obj=join id=0ea089f77c43 l=127.0.0.1:3000 r=222.117.88.21:65087
t=2020-02-19T10:40:18+0000 lvl=info msg="join connections" obj=join id=9079389b6497 l=127.0.0.1:3000 r=222.117.88.21:65089
t=2020-02-19T10:40:18+0000 lvl=info msg="join connections" obj=join id=33db5a931ce1 l=127.0.0.1:3000 r=222.117.88.21:65090
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=f2a2b0b464f7 l=127.0.0.1:3000 r=222.117.88.21:65090
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=4a025ffe4901 l=127.0.0.1:3000 r=222.117.88.21:65070
t=2020-02-19T10:40:21+0000 lvl=info msg="join connections" obj=join id=1e60b1e57a26 l=127.0.0.1:3000 r=222.117.88.21:65088
